"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cellular community - eukaryotes","mmu04530","Tight junction","20/685","169/11153",0.118343195266272,1.92683453548136,3.10566857282917,0.00358049996603402,0.0210354373004498,0.0143354603903242,"Actn1/Arhgef18/Arhgef2/Arpc1b/Arpc4/Cldn4/Crb3/Erbb2/F11r/Igsf5/Jun/Marveld3/Myl12a/Myl6b/Ppp2ca/Prkaca/Rab8b/Rap2c/Rock1/Whamm",20
"Genetic Information Processing","Translation","mmu03015","mRNA surveillance pathway","14/685","104/11153",0.134615384615385,2.19177428411005,3.12348196063163,0.00442640722906321,0.0255489119010841,0.0174113525353733,"Clp1/Cpsf2/Cpsf3/Cpsf6/Cpsf7/Dazap1/Eif4a3/Msi2/Pabpc4/Ppp2ca/Ppp2r3c/Ssu72/Upf3b/Wdr82",14
"Human Diseases","Infectious disease: viral","mmu05164","Influenza A","20/685","174/11153",0.114942528735632,1.87146572699052,2.96369394310686,0.00498723192937616,0.0280426084316457,0.0191107841815407,"Akt1/Bax/Casp9/Ep300/Fadd/Fdps/Icam1/Ifngr1/Irak4/Irf7/Map2k1/Mapk1/Nfkbia/Pik3cb/Pycard/Rsad2/Slc25a5/Socs3/Tlr3/Trim25",20
"Environmental Information Processing","Signal transduction","mmu04012","ErbB signaling pathway","12/685","84/11153",0.142857142857143,2.3259645464025,3.120377735889,0.00502891762148054,0.0280426084316457,0.0191107841815407,"Akt1/Bad/Cbl/Cblb/Erbb2/Jun/Map2k1/Mapk1/Pak4/Pik3cb/Shc1/Sos2",12
"Organismal Systems","Endocrine system","mmu04910","Insulin signaling pathway","17/685","140/11153",0.121428571428571,1.97706986444213,2.97595682365469,0.005357042819224,0.0293744514587449,0.0200184231665739,"Akt1/Bad/Cbl/Cblb/Eif4e/Map2k1/Mapk1/Mknk2/Phkg2/Pik3cb/Ppp1r3e/Prkaca/Ptpn1/Shc1/Socs3/Sos2/Srebf1",17
"Environmental Information Processing","Signal transduction","mmu04668","TNF signaling pathway","15/685","118/11153",0.127118644067797,2.06971421501918,2.9882189192235,0.00565865981398561,0.0305196570295289,0.020798870412061,"Akt1/Cebpb/Csf2/Fadd/Fos/Icam1/Jun/Map2k1/Map3k8/Mapk1/Mapk13/Nfkbia/Pik3cb/Socs3/Tab2",15
"Metabolism","Lipid metabolism","mmu00100","Steroid biosynthesis","5/685","20/11153",0.25,4.07043795620438,3.51559654128141,0.00616391320387656,0.0322538888288762,0.0219807337083687,"Hsd17b7/Lbr/Lss/Nsdhl/Soat1",5
"Human Diseases","Infectious disease: viral","mmu05162","Measles","17/685","142/11153",0.119718309859155,1.94922381001336,2.91198560245556,0.00617627658425289,0.0322538888288762,0.0219807337083687,"Akt1/Bad/Bax/Bbc3/Bcl2l1/Casp9/Cblb/Fadd/Fos/Hspa8/Irak4/Irf7/Jun/Nfkbia/Pik3cb/Stat3/Tab2",17
"Human Diseases","Cancer: specific types","mmu05216","Thyroid cancer","7/685","37/11153",0.189189189189189,3.08033142631683,3.24226816332625,0.00653393243407495,0.0335884964189165,0.0228902567180586,"Bax/Gadd45a/Map2k1/Mapk1/Polk/Rxrb/Tcf7l2",7
"Human Diseases","Cancer: overview","mmu05231","Choline metabolism in cancer","13/685","98/11153",0.13265306122449,2.15982422165947,2.94995674366423,0.00677091395718691,0.0342712414140691,0.0233555412612277,"Akt1/Chkb/Fos/Jun/Map2k1/Mapk1/Pik3cb/Pip5k1b/Pip5k1c/Rac3/Slc44a1/Slc44a3/Sos2",13
"Human Diseases","Cancer: overview","mmu05205","Proteoglycans in cancer","22/685","204/11153",0.107843137254902,1.75587519679405,2.78719760183683,0.00709909059763003,0.0353878910093982,0.024116527867547,"Akt1/Arhgef1/Cbl/Erbb2/Fn1/Fzd5/Fzd8/Hspg2/Itpr1/Map2k1/Mapk1/Mapk13/Pik3cb/Prkaca/Pxn/Rock1/Sdc1/Sos2/Stat3/Thbs1/Vav2/Vegfa",22
"Organismal Systems","Excretory system","mmu04960","Aldosterone-regulated sodium reabsorption","7/685","38/11153",0.184210526315789,2.9992700729927,3.15789975112674,0.00759524999560961,0.0372960783366502,0.0254169402838153,"Atp1a1/Atp1b1/Mapk1/Pik3cb/Scnn1a/Scnn1b/Sgk1",7
"Human Diseases","Cardiovascular disease","mmu05418","Fluid shear stress and atherosclerosis","17/685","149/11153",0.114093959731544,1.85764953705972,2.69598523890824,0.00987694115442605,0.0477869652912672,0.0325663849209404,"Acvr1/Acvr2b/Akt1/Arhgef2/Dusp1/Fos/Icam1/Il1r1/Jun/Mapk13/Mgst1/Pik3cb/Rac3/Sdc1/Sqstm1/Sumo3/Vegfa",17
"Human Diseases","Infectious disease: parasitic","mmu05142","Chagas disease","13/685","103/11153",0.12621359223301,2.05497838565658,2.75150840892507,0.0102000972107597,0.0484695760536848,0.0330315779857138,"Akt1/Fadd/Fos/Gnai2/Ifngr1/Irak4/Jun/Mapk1/Mapk13/Nfkbia/Pik3cb/Ppp2ca/Tgfbr2",13
"Human Diseases","Drug resistance: antineoplastic","mmu01524","Platinum drug resistance","11/685","81/11153",0.135802469135802,2.21110209966658,2.79833714349417,0.0103126757561031,0.0484695760536848,0.0330315779857138,"Akt1/Bad/Bax/Bbc3/Bcl2l1/Casp9/Erbb2/Fadd/Mapk1/Mgst1/Pik3cb",11
"Environmental Information Processing","Signal transduction","mmu04024","cAMP signaling pathway","23/685","224/11153",0.102678571428571,1.6717870177268,2.59809610711323,0.010631289888006,0.0492633010303378,0.033572494383177,"Akt1/Atp1a1/Atp1b1/Bad/Ep300/Fos/Gnai2/Jun/Kcnk2/Map2k1/Mapk1/Nfatc1/Nfkbia/Npr1/Orai1/Pde4a/Pik3cb/Prkaca/Rac3/Rapgef3/Rock1/Tshb/Vav2",23
