"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000220","vacuolar proton-transporting V-type ATPase, V0 domain","4/1347","10/25856",0.4,7.67809948032665,4.95164484202257,0.00119538309799923,0.00984859857026229,0.00700126052951667,"Atp6v0a1/Atp6v0a2/Atp6v0b/Atp6v0d1",4
"GO:0000815","ESCRT III complex","4/1347","10/25856",0.4,7.67809948032665,4.95164484202257,0.00119538309799923,0.00984859857026229,0.00700126052951667,"Chmp1a/Chmp2a/Chmp2b/Chmp7",4
"GO:1902773","GTPase activator complex","4/1347","10/25856",0.4,7.67809948032665,4.95164484202257,0.00119538309799923,0.00984859857026229,0.00700126052951667,"Flcn/Fnip2/Lamtor3/Lamtor5",4
"GO:1990877","FNIP-folliculin RagC/D GAP","4/1347","10/25856",0.4,7.67809948032665,4.95164484202257,0.00119538309799923,0.00984859857026229,0.00700126052951667,"Flcn/Fnip2/Lamtor3/Lamtor5",4
"GO:0005777","peroxisome","18/1347","155/25856",0.116129032258065,2.22912565557871,3.59815936872058,0.00122164852096669,0.00984859857026229,0.00700126052951667,"Arf1/Cat/Dhrs4/Eci2/Fdps/Gnpat/Gstk1/Mff/Mgst1/Pex11b/Pex16/Pex2/Pmvk/Prdx1/Rab8b/Scp2/Vwa8/Xdh",18
"GO:0042579","microbody","18/1347","155/25856",0.116129032258065,2.22912565557871,3.59815936872058,0.00122164852096669,0.00984859857026229,0.00700126052951667,"Arf1/Cat/Dhrs4/Eci2/Fdps/Gnpat/Gstk1/Mff/Mgst1/Pex11b/Pex16/Pex2/Pmvk/Prdx1/Rab8b/Scp2/Vwa8/Xdh",18
"GO:0031256","leading edge membrane","22/1347","208/25856",0.105769230769231,2.03026668950945,3.49742046097497,0.00131254442100725,0.0104523354502163,0.00743045044498327,"Abca7/Appl2/Arhgap44/Arhgef2/Clasp2/Dnm2/Eef1a1/Eps8l1/Eps8l2/Erbb2/Gabre/Kank1/Kcnc3/Mapk8ip3/Nckap1/Pde9a/Piezo1/Pip5k1c/Plekho1/Psd/Slc9a5/Spry2",22
"GO:0005771","multivesicular body","11/1347","73/25856",0.150684931506849,2.89243473573949,3.79584866763483,0.00133978686832714,0.0105407328315376,0.00749329117225449,"Atp13a2/Bst2/Chmp1a/Chmp2a/Chmp2b/Chmp7/Cst3/Lamp1/Lrrk2/Rab27a/Slc9a8",11
"GO:0033290","eukaryotic 48S preinitiation complex","5/1347","17/25856",0.294117647058824,5.64566138259313,4.49187264050798,0.00139228472277148,0.0108233562377354,0.00769420504689502,"Eif1/Eif1ax/Eif3b/Eif3i/Eif3j2",5
"GO:0055037","recycling endosome","22/1347","212/25856",0.10377358490566,1.99195977083946,3.39987052932178,0.00167667545292947,0.0128808125972111,0.00915682817017828,"Abhd17a/Ap1g1/Arhgap44/Clcn3/Cln3/Dnm2/Eea1/Inpp5f/Itsn1/Ldlr/Lmtk2/Micall1/Rab10/Rap2c/Slc39a4/Slc9a5/Sorcs2/Stx12/Tpp1/Unc13d/Vamp8/Vps16",22
"GO:0030496","midbody","24/1347","240/25856",0.1,1.91952487008166,3.35510963760506,0.00175753520850935,0.0131005147382428,0.00931301200864847,"Arl8a/Birc6/Cep44/Chmp1a/Chmp2a/Chmp2b/Chmp7/Dnm2/Eml3/Flcn/Gdi1/Gnai2/Il16/Lzts2/Map7d1/Mbd5/Pik3cb/Pitpnm1/Poldip2/Ptpn13/Rala/Vamp8/Zfp330/Zfyve19",24
"GO:0043256","laminin complex","4/1347","11/25856",0.363636363636364,6.98009043666059,4.65060119845297,0.0018012422326935,0.0131005147382428,0.00931301200864847,"Lamb1/Lamb2/Ntn4/Pmp22",4
"GO:1904930","amphisome membrane","4/1347","11/25856",0.363636363636364,6.98009043666059,4.65060119845297,0.0018012422326935,0.0131005147382428,0.00931301200864847,"Chmp1a/Chmp2a/Chmp2b/Chmp7",4
"GO:0000313","organellar ribosome","12/1347","87/25856",0.137931034482759,2.64762051045747,3.60878747018297,0.0018111108832272,0.0131005147382428,0.00931301200864847,"Mrpl16/Mrpl20/Mrpl22/Mrpl37/Mrpl47/Mrpl49/Mrps11/Mrps18c/Mrps21/Mrps26/Mrps27/Mrps7",12
"GO:0005761","mitochondrial ribosome","12/1347","87/25856",0.137931034482759,2.64762051045747,3.60878747018297,0.0018111108832272,0.0131005147382428,0.00931301200864847,"Mrpl16/Mrpl20/Mrpl22/Mrpl37/Mrpl47/Mrpl49/Mrps11/Mrps18c/Mrps21/Mrps26/Mrps27/Mrps7",12
"GO:0005925","focal adhesion","21/1347","200/25856",0.105,2.01550111358575,3.37982490137487,0.00182677235110767,0.0131005147382428,0.00931301200864847,"Actn1/Ajuba/Armc5/Atp6v0a2/Bcar3/Cbl/Clasp2/Enah/Git1/Il16/Lims1/Map2k1/Mapk1/Pip5k1c/Ptpn12/Pxn/Rala/Sdcbp/Shc1/Slc9a5/Srp68",21
"GO:0016282","eukaryotic 43S preinitiation complex","5/1347","18/25856",0.277777777777778,5.33201352800462,4.31012517122773,0.00184570804887954,0.0131005147382428,0.00931301200864847,"Eif1/Eif1ax/Eif3b/Eif3i/Eif3j2",5
"GO:0030055","cell-substrate junction","22/1347","214/25856",0.102803738317757,1.97334332438302,3.3518939252366,0.00188893678209482,0.0132631797710529,0.00942864879347841,"Actn1/Ajuba/Armc5/Atp6v0a2/Bcar3/Cbl/Clasp2/Enah/Git1/Il16/Itga6/Lims1/Map2k1/Mapk1/Pip5k1c/Ptpn12/Pxn/Rala/Sdcbp/Shc1/Slc9a5/Srp68",22
"GO:0036452","ESCRT complex","6/1347","27/25856",0.222222222222222,4.2656108224037,3.98002486757566,0.00227475495362747,0.0156359472075656,0.0111154230975037,"Chmp1a/Chmp2a/Chmp2b/Chmp7/Mvb12a/Vps28",6
"GO:0097346","INO80-type complex","6/1347","27/25856",0.222222222222222,4.2656108224037,3.98002486757566,0.00227475495362747,0.0156359472075656,0.0111154230975037,"Gon4l/Ino80b/Ino80c/Mcrs1/Srcap/Tfpt",6
"GO:0099091","postsynaptic specialization, intracellular component","10/1347","67/25856",0.149253731343284,2.8649624926592,3.58330293396237,0.00235065622215971,0.0159893595111489,0.0113666600216275,"Akap1/Arhgef2/Baiap2/Cript/Dnm2/Fabp5/Iqsec1/Psd/Yes1/Zdhhc5",10
"GO:0070993","cytosolic translation preinitiation complex","5/1347","19/25856",0.263157894736842,5.05138123705701,4.14144733809323,0.00239840186732571,0.0161459424676669,0.0114779731252375,"Eif1/Eif1ax/Eif3b/Eif3i/Eif3j2",5
"GO:0030867","rough endoplasmic reticulum membrane","6/1347","28/25856",0.214285714285714,4.11326757874642,3.86405543917245,0.00276917962651892,0.0184517785318047,0.0131171666519317,"Gnrh1/Rp9/Rps29/Sec61a2/Suco/Tmem97",6
"GO:0005778","peroxisomal membrane","9/1347","58/25856",0.155172413793103,2.97857307426465,3.53644041565788,0.00291918880224794,0.0188899640012147,0.0134286678883464,"Arf1/Cat/Dhrs4/Gnpat/Mgst1/Pex11b/Pex16/Pex2/Rab8b",9
"GO:0031903","microbody membrane","9/1347","58/25856",0.155172413793103,2.97857307426465,3.53644041565788,0.00291918880224794,0.0188899640012147,0.0134286678883464,"Arf1/Cat/Dhrs4/Gnpat/Mgst1/Pex11b/Pex16/Pex2/Rab8b",9
