"gene","rho","p.value"
"Gpbp1l1",0.714285714285714,0.0465282322841672
"Gprc5c",0.714285714285714,0.0465282322841672
"Gtpbp2",0.714285714285714,0.0465282322841672
"Hebp1",0.714285714285714,0.0465282322841672
"Ikbkg",0.714285714285714,0.0465282322841672
"Ints6",0.714285714285714,0.0465282322841672
"Itsn1",0.714285714285714,0.0465282322841672
"Klhdc8b",0.714285714285714,0.0465282322841672
"Lap3",0.714285714285714,0.0465282322841672
"Lhfpl2",0.714285714285714,0.0465282322841672
"Lpcat2",0.714285714285714,0.0465282322841672
"Lss",0.714285714285714,0.0465282322841672
"Mapk13",0.714285714285714,0.0465282322841672
"Mbd1",0.714285714285714,0.0465282322841672
"Mta3",0.714285714285714,0.0465282322841672
"Mtmr2",0.714285714285714,0.0465282322841672
"Nab2",0.714285714285714,0.0465282322841672
"Nsun6",0.714285714285714,0.0465282322841672
"Nudt18",0.714285714285714,0.0465282322841672
"Orai1",0.714285714285714,0.0465282322841672
"Pfdn5",0.714285714285714,0.0465282322841672
"Pim1",0.714285714285714,0.0465282322841672
"Pmvk",0.714285714285714,0.0465282322841672
"Ppp1r21",0.714285714285714,0.0465282322841672
"Prr15l",0.714285714285714,0.0465282322841672
"Psmd11",0.714285714285714,0.0465282322841672
"Rhog",0.714285714285714,0.0465282322841672
"Rit1",0.714285714285714,0.0465282322841672
"Rps19",0.714285714285714,0.0465282322841672
"Rps9",0.714285714285714,0.0465282322841672
"Smagp",0.714285714285714,0.0465282322841672
"St7l",0.714285714285714,0.0465282322841672
"Tfe3",0.714285714285714,0.0465282322841672
"Tmc4",0.714285714285714,0.0465282322841672
"Tmem55b",0.714285714285714,0.0465282322841672
"Tom1l1",0.714285714285714,0.0465282322841672
"Tsn",0.714285714285714,0.0465282322841672
"Txnrd2",0.714285714285714,0.0465282322841672
"Ube3b",0.714285714285714,0.0465282322841672
"Ublcp1",0.714285714285714,0.0465282322841672
"Vnn3",0.714285714285714,0.0465282322841672
"Vps35",0.714285714285714,0.0465282322841672
"Wwtr1",0.714285714285714,0.0465282322841672
"Zfp90",0.714285714285714,0.0465282322841672
"Znrd1as",0.714285714285714,0.0465282322841672
"1110012L19Rik",0.690476190476191,0.0579903181645727
"9330182L06Rik",0.690476190476191,0.0579903181645727
"Amhr2",0.690476190476191,0.0579903181645727
"Atoh8",0.690476190476191,0.0579903181645727
"Atp6v1d",0.690476190476191,0.0579903181645727
"Atp6v1g1",0.690476190476191,0.0579903181645727
"Atp9b",0.690476190476191,0.0579903181645727
"Bfsp1",0.690476190476191,0.0579903181645727
"Ccdc57",0.690476190476191,0.0579903181645727
"Cdip1",0.690476190476191,0.0579903181645727
"Clmn",0.690476190476191,0.0579903181645727
"Ddi2",0.690476190476191,0.0579903181645727
"Dll4",0.690476190476191,0.0579903181645727
"Dnajc7",0.690476190476191,0.0579903181645727
"Erbb3",0.690476190476191,0.0579903181645727
"Ets2",0.690476190476191,0.0579903181645727
"Galnt7",0.690476190476191,0.0579903181645727
"H2afj",0.690476190476191,0.0579903181645727
"Hba-a2",0.690476190476191,0.0579903181645727
"Herpud1",0.690476190476191,0.0579903181645727
"Icam1",0.690476190476191,0.0579903181645727
"Kcnj15",0.690476190476191,0.0579903181645727
"Klhl24",0.690476190476191,0.0579903181645727
"Lias",0.690476190476191,0.0579903181645727
"Mettl21d",0.690476190476191,0.0579903181645727
"Mfsd5",0.690476190476191,0.0579903181645727
"Mospd1",0.690476190476191,0.0579903181645727
"Mri1",0.690476190476191,0.0579903181645727
"Mrpl44",0.690476190476191,0.0579903181645727
"Mt2",0.690476190476191,0.0579903181645727
"Naf1",0.690476190476191,0.0579903181645727
"Numb",0.690476190476191,0.0579903181645727
"Pacrgl",0.690476190476191,0.0579903181645727
"Pcgf6",0.690476190476191,0.0579903181645727
"Pgs1",0.690476190476191,0.0579903181645727
"Phf16",0.690476190476191,0.0579903181645727
"Phf7",0.690476190476191,0.0579903181645727
"Porcn",0.690476190476191,0.0579903181645727
"Prss8",0.690476190476191,0.0579903181645727
"Ptcd1",0.690476190476191,0.0579903181645727
"Rbm47",0.690476190476191,0.0579903181645727
"Rbm48",0.690476190476191,0.0579903181645727
"Rnf24",0.690476190476191,0.0579903181645727
"Rp9",0.690476190476191,0.0579903181645727
"Rpe",0.690476190476191,0.0579903181645727
"Rpl13a",0.690476190476191,0.0579903181645727
"Rpl30",0.690476190476191,0.0579903181645727
"Sdccag3",0.690476190476191,0.0579903181645727
"Sec61a2",0.690476190476191,0.0579903181645727
"Senp2",0.690476190476191,0.0579903181645727
"Senp6",0.690476190476191,0.0579903181645727
"Setd3",0.690476190476191,0.0579903181645727
"Slc2a8",0.690476190476191,0.0579903181645727
"Smyd4",0.690476190476191,0.0579903181645727
"Tbc1d15",0.690476190476191,0.0579903181645727
"Tceanc",0.690476190476191,0.0579903181645727
"Tmem243",0.690476190476191,0.0579903181645727
"Tmem59",0.690476190476191,0.0579903181645727
"Topors",0.690476190476191,0.0579903181645727
"Tpp2",0.690476190476191,0.0579903181645727
"Tpt1",0.690476190476191,0.0579903181645727
"Tspan11",0.690476190476191,0.0579903181645727
"Ttc5",0.690476190476191,0.0579903181645727
"Ube2q2",0.690476190476191,0.0579903181645727
"Wdr61",0.690476190476191,0.0579903181645727
"Wdr92",0.690476190476191,0.0579903181645727
"Yes1",0.690476190476191,0.0579903181645727
"2010001A14Rik",0.666666666666667,0.0709876543209875
"2310015A10Rik",0.666666666666667,0.0709876543209875
"2700060E02Rik",0.666666666666667,0.0709876543209875
"Abcb8",0.666666666666667,0.0709876543209875
"Acad11",0.666666666666667,0.0709876543209875
"Acsl3",0.666666666666667,0.0709876543209875
"Adhfe1",0.666666666666667,0.0709876543209875
"Adrm1",0.666666666666667,0.0709876543209875
"Alcam",0.666666666666667,0.0709876543209875
"Angel2",0.666666666666667,0.0709876543209875
"Arg1",0.666666666666667,0.0709876543209875
"Arl10",0.666666666666667,0.0709876543209875
"Atg9a",0.666666666666667,0.0709876543209875
"Atp6v1c2",0.666666666666667,0.0709876543209875
"Atraid",0.666666666666667,0.0709876543209875
"AV099323",0.666666666666667,0.0709876543209875
"Bcl2l1",0.666666666666667,0.0709876543209875
"Bloc1s2",0.666666666666667,0.0709876543209875
"C920006O11Rik",0.666666666666667,0.0709876543209875
"Casp9",0.666666666666667,0.0709876543209875
"Col23a1",0.666666666666667,0.0709876543209875
"Col27a1",0.666666666666667,0.0709876543209875
"Coq4",0.666666666666667,0.0709876543209875
"Crebrf",0.666666666666667,0.0709876543209875
"Csf2",0.666666666666667,0.0709876543209875
"D16Ertd472e",0.666666666666667,0.0709876543209875
"Dld",0.666666666666667,0.0709876543209875
"Dnaja4",0.666666666666667,0.0709876543209875
"Dusp11",0.666666666666667,0.0709876543209875
