name	description	E16.5	E18.5	PND1	PND3	PND7	PND10	PND14	PND28
Eml3	na	3.50093187732924	4.27513172251476	4.11162440491242	3.9808431611628	3.96555841753266	3.98911262382419	3.60964513285924	4.27251002396111
Emp2	na	7.25623090061509	7.89589163055154	8.31258651588654	8.49821458513177	8.03535095192345	8.00006170997073	7.84815232657969	7.44609073232758
Enah	na	0.530747708426133	0.487308758545032	0.591176854270102	0.783157061342765	0.471056669733605	0.331284177662151	0.284039061758441	0.346310244905221
Entpd3	na	2.07271254356149	2.00028528883286	2.33528691932532	1.63300342259907	1.80095320169109	1.62646771260317	1.36458601266105	1.42620770065972
Ep300	na	4.70213103936925	4.67907395619001	5.80821508618474	5.46129143191051	5.3368222223489	5.26875483243022	5.21291834171482	5.66042670253817
Eps8l1	na	4.5124780431077	4.43428105800157	5.45234309100977	5.322018248066	4.90222269878599	5.12456734014903	4.83101166744657	5.02643101180508
Eps8l2	na	3.49595966070751	3.76134278024431	4.57405734028299	4.28999893530472	3.68340823065417	3.9435798689529	3.65850066820187	4.27447241131962
Erap1	na	3.3505875903928	3.90251321780322	4.00307052881199	3.93578563452249	3.69755696248847	3.66778751814406	3.81360570506128	3.7296085855444
Erbb2	na	3.63640303940668	3.17511314582646	3.71356442860259	3.91994564658464	3.76472399558282	3.67727107951428	3.53397333121207	3.919890583341
Ercc8	na	2.30588979304559	2.33173609494917	2.1521920315865	2.13653436916993	1.97824591484928	2.12811484411414	1.70099265458865	1.65162213391022
Ergic3	na	5.9847472897169	6.35994478845578	6.14813949433486	6.2702119943785	6.22818656801646	5.88592329187105	6.26480887751684	6.0902675881752
Ero1l	na	2.69581043699348	2.83089826828183	2.98350157419577	3.49720657664277	2.90592269355985	3.15941856209158	2.8170022684474	2.7813460780862
Errfi1	na	7.17757750103848	6.97166955573914	7.9693487437591	7.36869771599583	7.01161468510884	7.00734917767694	7.58764529159215	7.39398676272856
Esrp1	na	4.6211195893159	4.70764796768638	4.81484817066197	4.63212139768103	5.11321270088198	5.18792637690243	3.90213592303877	4.39071528185273
Esrra	na	2.76159171198465	3.02175808572824	3.58374190689615	2.80887856737109	2.94774575082929	2.91796408423988	3.44331263487135	2.83072596085577
Etohd2	na	2.59655724321536	2.90160257131047	3.33707892012217	3.05115158061079	2.62335518420513	2.61116722228543	2.74920169617226	2.88090072039442
Ets2	na	5.48996167168045	5.51768461677054	6.0304611124066	5.69281446265947	5.14671240150973	5.61608723834995	5.2121131652588	4.77277888140632
Etv6	na	2.28966339799093	2.1759431160141	2.81713830446398	2.71063948242635	2.45807943186216	2.5985465429898	2.00026298477435	2.78913629682379
Eva1a	na	3.46392361654009	3.88566857098895	4.08957158651844	3.53069848148123	3.87044237519069	3.99231745490924	3.92440972723049	4.5801455203648
Ewsr1	na	5.27895160208259	6.60183272741498	6.19133859532912	6.4944117169574	6.63072096057311	6.61220748061898	6.33442842076028	6.49029917715198
Exosc7	na	7.50610964176773	8.10951926442138	8.43482100021887	8.11541483829332	7.63824084710212	7.99427548209589	7.92326446897513	7.97953960762355
Extl1	na	1.14644706730865	1.06968339401207	1.40194777863283	1.36335060636453	1.20866072360365	1.12436860163752	0.960200157064846	0.942764429384488
F11r	na	6.04202076487106	5.97617301473702	6.51034123231798	6.47196358235733	6.33577210069951	6.38959887199881	6.35961241552848	6.28001290198756
F7	na	1.44137963660836	1.26808955036974	2.06780448001675	1.60053224736773	1.18448446756572	1.23798878728545	1.42051039379064	1.68827231680481
Faah	na	3.92294533640251	3.63583100781974	4.26735800309121	4.14627443378127	4.09900980351041	4.22763301725601	4.06451416735727	4.12049966793428
Fabp5	na	8.24806232031251	10.2635615993121	9.57050550836253	8.84029539469581	8.98988100839938	8.89520337878083	8.97967036208923	9.53309784365214
Fadd	na	2.57871596906759	2.62179306872421	3.19623683929786	2.69425363549442	2.86807910578201	2.72524906887876	2.73701716327202	3.16464091134827
Faf1	na	3.66943442167549	4.40432112197445	4.60227570182767	4.50861550449112	3.94856878018904	4.4154491540428	3.90184228136802	4.06884740521958
Faf2	na	5.32385782751521	5.45006920848552	5.7416104973953	5.73447039203062	5.38606911981253	5.6925810257421	5.31891792676123	5.41180444266859
Fam101b	na	6.2410475808708	6.36027283983326	7.39705716772656	7.12637215815277	6.63275961486834	6.90013821861197	6.77626401902316	7.08333617788839
Fam103a1	na	4.23596742791545	5.20879619305373	5.02135499060911	5.3562219825921	5.16676689298015	5.04416341708427	4.76282915137497	5.24485715625322
Fam117a	na	4.08832730470084	4.18751462280311	4.8122824432792	4.05762557116066	4.11469496781506	4.13543040114902	4.23277579766353	4.76457648376749
Fam133b	na	6.05205262428545	6.21319619606531	6.51678107680896	5.96779030100648	6.42111433178365	6.03369169990832	6.55117480357027	6.81717128540669
Fam135a	na	2.53889263977659	2.90260811651969	2.67981711816527	2.8165828328565	3.03319228245033	2.66169413739751	2.89347854301777	2.65787267879468
