"gene","rho","p.value"
"Snapin",0.644117647058823,0.00708152408658287
"Tmem116",0.644117647058823,0.00708152408658287
"Sod2",0.641176470588235,0.00743441908253395
"Sptlc1",0.641176470588235,0.00743441908253395
"Usf1",0.641176470588235,0.00743441908253395
"Vamp3",0.641176470588235,0.00743441908253395
"9430023L20Rik",0.638235294117647,0.00780113863100802
"Rbm7",0.638235294117647,0.00780113863100802
"Wdr20a",0.638235294117647,0.00780113863100802
"Eci1",0.63235294117647,0.00857758410309935
"Hba-a2",0.63235294117647,0.00857758410309935
"Rbm47",0.63235294117647,0.00857758410309935
"Tmc4",0.63235294117647,0.00857758410309935
"Mccc1",0.629411764705882,0.0089880892644469
"Phb",0.629411764705882,0.0089880892644469
"Rnf114",0.629411764705882,0.0089880892644469
"Rplp1",0.629411764705882,0.0089880892644469
"Sharpin",0.629411764705882,0.0089880892644469
"Slc35a5",0.629411764705882,0.0089880892644469
"Rpl6",0.626470588235294,0.00941397730678366
"Btf3",0.623529411764706,0.00985565039092204
"Dmtf1",0.623529411764706,0.00985565039092204
"Dok4",0.623529411764706,0.00985565039092204
"Gdpd2",0.623529411764706,0.00985565039092204
"Rad51d",0.623529411764706,0.00985565039092204
"Rpl26",0.623529411764706,0.00985565039092204
"Psmb3",0.620588235294118,0.0103135155496777
"Rab18",0.620588235294118,0.0103135155496777
"Tmem14c",0.620588235294118,0.0103135155496777
"Tmem171",0.620588235294118,0.0103135155496777
"Fam49b",0.617647058823529,0.0107879846019488
"Mta3",0.617647058823529,0.0107879846019488
"Rpl18",0.617647058823529,0.0107879846019488
"2210417K05Rik",0.614705882352941,0.011279474063305
"Polr2e",0.614705882352941,0.011279474063305
"Ptcd2",0.614705882352941,0.011279474063305
"Ptges3",0.614705882352941,0.011279474063305
"Dbnl",0.611764705882353,0.0117884050531152
"E030030I06Rik",0.611764705882353,0.0117884050531152
"Ptplb",0.611764705882353,0.0117884050531152
"Wbp2",0.611764705882353,0.0117884050531152
"Dnpep",0.608823529411765,0.0123152031982465
"Lgmn",0.608823529411765,0.0123152031982465
"Gm26205",0.605882352941176,0.0128602985333672
"Rps3a1",0.605882352941176,0.0128602985333672
"Ube2d2a",0.605882352941176,0.0128602985333672
"Pfdn5",0.602941176470588,0.0134241253978914
"Rmnd5b",0.602941176470588,0.0134241253978914
"Ranbp9",0.6,0.0140071223296
"Fdps",0.597058823529412,0.014609731954981
"Nr2c2ap",0.597058823529412,0.014609731954981
"Tmem165",0.597058823529412,0.014609731954981
"Zfyve21",0.597058823529412,0.014609731954981
"Gtf2e1",0.594117647058824,0.015232400876328
"Rilp",0.594117647058824,0.015232400876328
"Rpl28",0.594117647058824,0.015232400876328
"Rpl37",0.594117647058824,0.015232400876328
"Rpl5",0.594117647058824,0.015232400876328
"Stard3",0.594117647058824,0.015232400876328
"Zfp410",0.594117647058824,0.015232400876328
"Echs1",0.591176470588235,0.0158755795556415
"Polb",0.591176470588235,0.0158755795556415
"Taf6",0.591176470588235,0.0158755795556415
"Maf1",0.588235294117647,0.0165397221953782
"Rps24",0.588235294117647,0.0165397221953782
"Uqcrb",0.588235294117647,0.0165397221953782
"Ash2l",0.585294117647059,0.0172252866160948
"Pdcd2l",0.585294117647059,0.0172252866160948
"Plin2",0.585294117647059,0.0172252866160948
"Rab20",0.585294117647059,0.0172252866160948
"Sin3b",0.585294117647059,0.0172252866160948
"Coro1b",0.58235294117647,0.0179327341310354
"Dram2",0.58235294117647,0.0179327341310354
"Fchsd1",0.58235294117647,0.0179327341310354
"Mt1",0.58235294117647,0.0179327341310354
"Zfp36",0.58235294117647,0.0179327341310354
"Zfp865",0.58235294117647,0.0179327341310354
"Kti12",0.579411764705882,0.0186625294177119
"Rin2",0.579411764705882,0.0186625294177119
"Rplp0",0.579411764705882,0.0186625294177119
"Rps5",0.579411764705882,0.0186625294177119
"Stard5",0.579411764705882,0.0186625294177119
"Vsig2",0.579411764705882,0.0186625294177119
"Zdhhc6",0.579411764705882,0.0186625294177119
"Cpsf3",0.576470588235294,0.0194151403865316
"Gm12940",0.576470588235294,0.0194151403865316
"Gtpbp10",0.576470588235294,0.0194151403865316
"Hspb11",0.576470588235294,0.0194151403865316
"Rps7",0.576470588235294,0.0194151403865316
"BC026585",0.573529411764706,0.0201910380465231
"Rgcc",0.573529411764706,0.0201910380465231
