"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0014037","Schwann cell differentiation","9/1342","55/25730",0.163636363636364,3.13737975884027,3.72226620328705,0.00201947180729258,0.02304896110745,0.0176850788969584,"Akt1/Col6a1/Erbb2/Lamb2/Map2k1/Mapk1/Pi4ka/Pmp22/Slc25a46",9
"GO:0060043","regulation of cardiac muscle cell proliferation","9/1342","55/25730",0.163636363636364,3.13737975884027,3.72226620328705,0.00201947180729258,0.02304896110745,0.0176850788969584,"Cited2/Dyrk1a/Fgfr2/Kcnk2/Mapk1/Pim1/Sav1/Tgfbr2/Tgfbr3",9
"GO:1903557","positive regulation of tumor necrosis factor superfamily cytokine production","15/1342","124/25730",0.120967741935484,2.31929955290611,3.45448256800243,0.00203743294559457,0.0232055123199282,0.0178051980004263,"Arhgef2/Csf1r/Fadd/Fzd5/Hmgb1/Ifngr1/Lbp/Lpl/Lrrk2/Mapkapk2/Pycard/Ripk2/Stat3/Thbs1/Tlr3",15
"GO:0019693","ribose phosphate metabolic process","36/1342","415/25730",0.0867469879518072,1.66318926974665,3.1950097774231,0.00205850418812404,0.0233639603369959,0.0179267724900462,"Atp1b1/Bad/Bcl2l1/Bend3/Bpgm/Col6a1/Ctps2/Ep300/Flcn/Gale/Git1/Hspa8/Ier3/Khk/Ldhd/Lrrk2/Map2k1/Mlst8/Mttp/Myh7/Ndufb11/Ndufb2/Npr1/Nt5c3/Nudt2/Nupr1/Pde4a/Pde9a/Pgk1/Ppat/Ppp2ca/Prkaca/Slc4a1/Stat3/Uckl1/Xdh",36
"GO:0048147","negative regulation of fibroblast proliferation","8/1342","45/25730",0.177777777777778,3.40851134293757,3.79327899410508,0.00205989187533053,0.0233639603369959,0.0179267724900462,"Bax/Ifi30/Lzts2/Nupr1/Pawr/Pex2/Sod2/Trp53inp1",8
"GO:0033344","cholesterol efflux","10/1342","66/25730",0.151515151515152,2.90498125818543,3.63496404982873,0.002113609901196,0.0238741845657821,0.0183182589305482,"Abca7/Npc1/Npc2/Nr1h2/Nr1h3/Scp2/Smpd1/Soat1/Srebf2/Stx12",10
"GO:1904262","negative regulation of TORC1 signaling","10/1342","66/25730",0.151515151515152,2.90498125818543,3.63496404982873,0.002113609901196,0.0238741845657821,0.0183182589305482,"Akt1/Cul3/Depdc5/Klhl22/Mat2a/Nlk/Npc1/Pim1/Prkaca/Ywhaz",10
"GO:0072526","pyridine-containing compound catabolic process","16/1342","137/25730",0.116788321167883,2.23916803550643,3.41137533966912,0.00212234177361567,0.0239233865491895,0.0183560107821128,"Bpgm/Col6a1/Ep300/Flcn/Gale/Git1/Ier3/Khk/Mlst8/Mttp/Nupr1/Pgk1/Ppp2ca/Prkaca/Slc4a1/Stat3",16
"GO:0006195","purine nucleotide catabolic process","19/1342","176/25730",0.107954545454545,2.06979914645712,3.34063290031133,0.00217245400440727,0.0244378725145979,0.0187507671812064,"Bpgm/Col6a1/Ep300/Flcn/Gale/Git1/Ier3/Khk/Mlst8/Mttp/Nupr1/Pde4a/Pde9a/Pgk1/Ppp2ca/Prkaca/Slc4a1/Stat3/Xdh",19
"GO:0046328","regulation of JNK cascade","18/1342","163/25730",0.110429447852761,2.11725014400263,3.35663372718687,0.0021836678821932,0.0245135776426083,0.0188088544483733,"Akt1/Cops5/Dnaja1/Dvl2/Gadd45a/Hipk3/Hmgb1/Map3k11/Map4k2/Mapk8ip3/Marveld3/Mfhas1/Ptpn1/Pycard/Rassf2/Ripk2/Sh3rf2/Tlr3",18
