"gene","cluster"
"Acbd6",3
"Acbd7",3
"Accs",2
"Acd",5
"Ace",12
"Ace2",3
"Acer2",3
"Acer3",13
"Ache",10
"Acin1",13
"Ackr2",12
"Ackr3",1
"Ackr4",1
"Acly",2
"Acn9",3
"Acnat1",13
"Aco1",13
"Aco2",3
"Acot1",11
"Acot10",2
"Acot11",13
"Acot13",9
"Acot2",12
"Acot6",5
"Acot7",2
"Acot8",8
"Acot9",4
"Acox1",8
"Acox2",10
"Acox3",13
"Acoxl",13
"Acp1",13
"Acp2",13
"Acp5",1
"Acp6",11
"Acpl2",2
"Acpp",14
"Acpt",12
"Acr",10
"Acrbp",2
"Acsbg1",10
"Acsf2",14
"Acsf3",6
"Acsl1",7
"Acsl3",11
"Acsl4",13
"Acsl5",15
"Acsm1",14
"Acsm3",14
"Acss1",8
"Acss2",3
"Acss3",11
"Acta1",8
"Acta2",13
"Actb",3
"Actbl2",14
"Actc1",2
"Actg1",11
"Actg2",5
"Actl6a",11
"Actn1",6
"Actn2",2
"Actn4",10
"Actr10",3
"Actr1a",3
"Actr1b",3
"Actr2",15
"Actr3",3
"Actr5",13
"Actr6",3
"Actr8",11
"Acvr1",6
"Acvr1b",15
"Acvr1c",11
"Acvr2a",13
"Acvr2b",6
"Acvrl1",12
"Acy1",3
"Acy3",12
"Acyp1",4
"Acyp2",15
"Ada",5
"Adal",1
"Adam10",7
"Adam11",2
"Adam12",14
"Adam15",12
"Adam17",4
"Adam19",13
"Adam1a",14
"Adam22",8
"Adam23",12
"Adam28",12
"Adam32",10
"Adam33",5
"Adam4",1
"Adam5",10
"Adam8",12
"Adam9",8
"Adamdec1",12
"Adamts1",13
"Adamts10",6
"Adamts12",10
"Adamts14",1
"Adamts15",5
"Adamts17",5
"Adamts18",3
"Adamts19",10
"Adamts2",2
"Adamts20",10
"Adamts3",3
"Adamts4",10
"Adamts5",11
"Adamts6",12
"Adamts7",1
"Adamts8",2
"Adamts9",11
"Adamtsl1",7
"Adamtsl2",2
"Adamtsl3",2
"Adamtsl4",8
"Adamtsl5",3
"Adap1",1
"Adap2",2
"Adar",4
"Adarb1",1
"Adat1",5
"Adat2",7
"Adat3",5
"Adc",13
"Adck1",4
"Adck2",8
"Adck3",6
"Adck4",8
"Adck5",2
"Adcy2",3
"Adcy3",12
"Adcy4",1
"Adcy5",1
"Adcy6",15
"Adcy7",8
"Adcy8",1
"Adcy9",5
"Add1",8
"Add2",14
"Add3",11
"Adgb",2
"Adh1",12
"Adh5",5
"Adh7",2
"Adhfe1",3
"Adi1",8
"Adig",8
"Adipor1",12
"Adipor2",8
"Adk",15
"Adm",1
"Adnp",14
"Adnp2",11
"Ado",11
"Adora1",3
"Adora2a",10
"Adora2b",4
"Adora3",6
"Adpgk",4
"Adprh",2
"Adprhl2",10
"Adprm",8
"Adra1a",2
"Adra1b",10
"Adra2a",10
"Adrb1",13
"Adrb2",12
"Adrb3",1
"Adrbk1",8
"Adrbk2",15
"Adrm1",6
"Adsl",3
"Adss",7
"Adssl1",6
"Adtrp",5
"Aebp1",11
"Aebp2",15
"Aen",8
"Aes",12
"AF251705",2
"Afap1",7
"Afap1l1",6
"Afap1l2",4
"Aff1",13
"Aff3",12
"Aff4",11
"Afg3l1",6
"Afg3l2",14
"Afm",12
"Afmid",12
"Afp",14
"Aftph",13
"Aga",4
"Agap1",11
"Agap2",10
"Agap3",15
"Agbl2",14
"Agbl3",14
"Agbl4",10
"Agbl5",7
"Ager",15
"Agfg1",6
"Agfg2",6
"Aggf1",12
"Agk",4
"Agl",11
"Agmo",5
"Ago1",11
"Ago2",6
"Ago3",7
"Ago4",13
"Agpat1",8
"Agpat2",12
"Agpat3",6
"Agpat4",12
"Agpat5",11
"Agpat6",11
"Agpat9",14
"Agps",15
"Agr2",5
"Agr3",10
"Agrn",12
"Agrp",10
"Agt",5
"Agtpbp1",4
"Agtr1a",1
"Agtr1b",10
"Agtrap",13
"Ahctf1",13
"Ahcy",12
"Ahcyl1",11
"Ahcyl2",13
"Ahdc1",11
"Ahi1",13
"Ahnak",13
"Ahnak2",14
"Ahr",13
"Ahsa1",4
"Ahsa2",5
"AI182371",7
"AI314180",15
"AI317395",2
"AI413582",2
"AI429214",14
"AI462493",3
"AI464131",8
"AI467606",3
"AI480526",6
"AI504432",10
"AI597468",13
"AI597479",7
"AI606181",8
"AI607873",12
"AI661453",15
"AI662270",8
"AI836003",2
"AI837181",9
"AI838599",10
"AI846148",4
"AI987944",6
"Aida",15
"Aif1",2
"Aif1l",11
"Aifm1",3
"Aifm2",2
"Aifm3",7
"Aig1",15
"Aim1",8
"Aim1l",12
"Aim2",2
"Aimp1",5
